event_district_id,event_id,source_record_id,state,district,start_date,end_date,date_precision,district_source,district_resolution_evidence,state_resolution_source,state_resolution_evidence,aoi_level,district_resolution_source_class,district_resolution_evidence_type,district_resolution_circularity_risk,district_resolution_source_url,flood_area_km2,flood_ratio,aoi_area_km2,satellite_source,satellite_status,aoi_match_status,geometry_id,route_reason,spec_version,sits_status,converter_decision,eligible_km2,flood_ratio_eligible,legacy_flood_area_km2,legacy_satellite_source,article_count,article_collection_status,count_source,query_collection_status,missing_text_count,candidate_article_count,heuristic_pass_count,classified_article_count,unresolved_article_count,article_count_is_lower_bound,coverage_scope,window_days,uncertain_count,urban_population_share,total_population,urban_population,rural_population,census_year,census_source,census_match_status,census_district_code,district_match_status,exclusion_reason,analysis_eligible
E001::anantnag,E001,2015-0107-IND,Jammu and Kashmir,Anantnag,2015-03-20,2015-03-31,start:day|end:day,external_recovery,"[""{\""canonical_district\"": \""Anantnag\"", \""circularity_risk\"": \""none\"", \""end_date\"": \""2015-03-31\"", \""event_id\"": \""E001\"", \""evidence_note\"": \""Same late-March 2015 Kashmir flood/landslide episode; district-level inundation/evacuation or severe rain impacts reported.\"", \""evidence_scope\"": \""same_event_period\"", \""evidence_type\"": \""direct_disaster_impact\"", \""mapping_row\"": 2, \""merge_rule\"": \""dedupe on event_id + canonical(state,district); retain all source provenance\"", \""origin\"": \""exhaustive_followup\"", \""source_class\"": \""humanitarian\"", \""source_record_id\"": \""2015-0107-IND\"", \""source_title\"": \""ACT Alliance / ReliefWeb Kashmir Floods and Landslides Alert (2015)\"", \""source_url\"": \""https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf\"", \""source_verification\"": \""supplied_not_independently_verified\"", \""start_date\"": \""2015-03-20\"", \""state\"": \""Jammu and Kashmir\"", \""year\"": \""2015\""}""]",location,"[""location:(?<![A-Za-z])Jammu\\ and\\ Kashmir(?![A-Za-z])""]",district,humanitarian,direct_disaster_impact,none,https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf,1.8372,0.0007,2744.7027110021554,S1,observed,matched,76128533B6393836306469,s1_primary,fs1-3016a20fd3ad,unavailable,,460.8518,0.004,1.8372,S1,60.0,partial,llm_qa_observed_lower_bound,complete,2310,2420,0,83,2337,True,local_state_plus_targeted_bigquery,30,2337,0.2622500213221198,1078692.0,282887.0,795805.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557,matched,014,resolved,,True
E001::budgam,E001,2015-0107-IND,Jammu and Kashmir,Budgam,2015-03-20,2015-03-31,start:day|end:day,external_recovery,"[""{\""canonical_district\"": \""Budgam\"", \""circularity_risk\"": \""none\"", \""end_date\"": \""2015-03-31\"", \""event_id\"": \""E001\"", \""evidence_note\"": \""Same late-March 2015 Kashmir flood/landslide episode; district-level inundation/evacuation or severe rain impacts reported.\"", \""evidence_scope\"": \""same_event_period\"", \""evidence_type\"": \""direct_disaster_impact\"", \""mapping_row\"": 3, \""merge_rule\"": \""dedupe on event_id + canonical(state,district); retain all source provenance\"", \""origin\"": \""exhaustive_followup\"", \""source_class\"": \""humanitarian\"", \""source_record_id\"": \""2015-0107-IND\"", \""source_title\"": \""ACT Alliance / ReliefWeb Kashmir Floods and Landslides Alert (2015)\"", \""source_url\"": \""https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf\"", \""source_verification\"": \""supplied_not_independently_verified\"", \""start_date\"": \""2015-03-20\"", \""state\"": \""Jammu and Kashmir\"", \""year\"": \""2015\""}""]",location,"[""location:(?<![A-Za-z])Jammu\\ and\\ Kashmir(?![A-Za-z])""]",district,humanitarian,direct_disaster_impact,none,https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf,14.5393,0.0129,1130.5904895316958,S1,observed,matched,76128533B88214376170788,s1_primary,fs1-3016a20fd3ad,unavailable,,414.6076,0.0351,14.5393,S1,120.0,partial,llm_qa_observed_lower_bound,complete,2310,2482,0,142,2340,True,local_state_plus_targeted_bigquery,30,2340,0.129900695858679,753745.0,97912.0,655833.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557;crosswalk=district_name_crosswalk.csv;sha256=c8dc691ab763e799cc1aafb29e9c17ab287710bd63447ad37281418d902c30e9,matched_crosswalk,002,resolved,,True
E001::shopian,E001,2015-0107-IND,Jammu and Kashmir,Shopian,2015-03-20,2015-03-31,start:day|end:day,external_recovery,"[""{\""canonical_district\"": \""Shopian\"", \""circularity_risk\"": \""none\"", \""end_date\"": \""2015-03-31\"", \""event_id\"": \""E001\"", \""evidence_note\"": \""Same late-March 2015 Kashmir flood/landslide episode; district-level inundation/evacuation or severe rain impacts reported.\"", \""evidence_scope\"": \""same_event_period\"", \""evidence_type\"": \""direct_disaster_impact\"", \""mapping_row\"": 4, \""merge_rule\"": \""dedupe on event_id + canonical(state,district); retain all source provenance\"", \""origin\"": \""exhaustive_followup\"", \""source_class\"": \""humanitarian\"", \""source_record_id\"": \""2015-0107-IND\"", \""source_title\"": \""ACT Alliance / ReliefWeb Kashmir Floods and Landslides Alert (2015)\"", \""source_url\"": \""https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf\"", \""source_verification\"": \""supplied_not_independently_verified\"", \""start_date\"": \""2015-03-20\"", \""state\"": \""Jammu and Kashmir\"", \""year\"": \""2015\""}""]",location,"[""location:(?<![A-Za-z])Jammu\\ and\\ Kashmir(?![A-Za-z])""]",district,humanitarian,direct_disaster_impact,none,https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf,2.9652,0.0065,453.0644785617448,S1,observed,matched,76128533B37825396764028,s1_primary,fs1-3016a20fd3ad,unavailable,,204.64,0.0145,2.9652,S1,6.0,partial,llm_qa_observed_lower_bound,complete,2310,2332,0,12,2320,True,local_state_plus_targeted_bigquery,30,2320,0.0614540878613151,266215.0,16360.0,249855.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557;crosswalk=district_name_crosswalk.csv;sha256=c8dc691ab763e799cc1aafb29e9c17ab287710bd63447ad37281418d902c30e9,matched_crosswalk,013,resolved,,True
E001::srinagar,E001,2015-0107-IND,Jammu and Kashmir,Srinagar,2015-03-20,2015-03-31,start:day|end:day,external_recovery,"[""{\""canonical_district\"": \""Srinagar\"", \""circularity_risk\"": \""none\"", \""end_date\"": \""2015-03-31\"", \""event_id\"": \""E001\"", \""evidence_note\"": \""Same late-March 2015 Kashmir flood/landslide episode; district-level inundation/evacuation or severe rain impacts reported.\"", \""evidence_scope\"": \""same_event_period\"", \""evidence_type\"": \""direct_disaster_impact\"", \""mapping_row\"": 5, \""merge_rule\"": \""dedupe on event_id + canonical(state,district); retain all source provenance\"", \""origin\"": \""exhaustive_followup\"", \""source_class\"": \""humanitarian\"", \""source_record_id\"": \""2015-0107-IND\"", \""source_title\"": \""ACT Alliance / ReliefWeb Kashmir Floods and Landslides Alert (2015)\"", \""source_url\"": \""https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf\"", \""source_verification\"": \""supplied_not_independently_verified\"", \""start_date\"": \""2015-03-20\"", \""state\"": \""Jammu and Kashmir\"", \""year\"": \""2015\""}""]",location,"[""location:(?<![A-Za-z])Jammu\\ and\\ Kashmir(?![A-Za-z])""]",district,humanitarian,direct_disaster_impact,none,https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf,5.664,0.011,512.8831127978173,S1,observed,matched,76128533B32249045995424,s1_primary,fs1-3016a20fd3ad,unavailable,,211.5697,0.0268,5.664,S1,253.0,partial,llm_qa_observed_lower_bound,complete,2310,2808,0,338,2470,True,local_state_plus_targeted_bigquery,30,2470,0.9860021070010486,1236829.0,1219516.0,17313.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557,matched,010,resolved,,True
E002::virudhunagar,E002,2015-0207-IND,Tamil Nadu,Virudhunagar,2015-05-17,2015-05-21,start:day|end:day,admin_units|gadm,"[""admin_units:Virudhunagar"", ""gadm:IND.31.32_1"", ""recovery_alias:Virudunagar->Virudhunagar""]",gadm|location,"[""gadm:IND.31.32_1"", ""location:(?<![A-Za-z])Tamil\\ Nadu(?![A-Za-z])""]",district,,,,,,,4306.978436820998,NONE,missing,matched,17869.0,no_s1_or_s2,fs1-3016a20fd3ad,unavailable,,3913.8888,,,NONE,11.0,partial,llm_qa_observed_lower_bound,complete,219,232,0,13,219,True,local_state_plus_targeted_bigquery,30,219,0.5046759285955533,1942288.0,980226.0,962062.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557,matched,625,resolved,satellite_missing_or_invalid,False
E003::amreli,E003,2015-0249-IND,Gujarat,Amreli,2015-06-19,2015-06-20,start:day|end:day,gadm,"[""gadm:IND.11.2_1""]",gadm|location,"[""gadm:IND.11.20_1"", ""gadm:IND.11.26_1"", ""gadm:IND.11.28_1"", ""gadm:IND.11.2_1"", ""gadm:IND.11.30_1"", ""location:(?<![A-Za-z])Gujarat(?![A-Za-z])""]",district,,,,,,,7335.055339616136,NONE,missing,matched,17636.0,no_s1_or_s2,fs1-3016a20fd3ad,unavailable,,6520.1448,,,NONE,190.0,partial,llm_qa_observed_lower_bound,complete,959,1153,0,190,963,True,local_state_plus_targeted_bigquery,30,963,0.2553411394871185,1514190.0,386635.0,1127555.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557,matched,480,resolved,satellite_missing_or_invalid,False
E003::morbi,E003,2015-0249-IND,Gujarat,Morbi,2015-06-19,2015-06-20,start:day|end:day,gadm,"[""gadm:IND.11.20_1""]",gadm|location,"[""gadm:IND.11.20_1"", ""gadm:IND.11.26_1"", ""gadm:IND.11.28_1"", ""gadm:IND.11.2_1"", ""gadm:IND.11.30_1"", ""location:(?<![A-Za-z])Gujarat(?![A-Za-z])""]",district,,,,,0.0028,0.0,4845.388822156085,S1,observed,matched,76128533B2080752988715,s1_primary,fs1-3016a20fd3ad,unavailable,,4598.5249,0.0,0.0028,S1,1.0,partial,llm_qa_observed_lower_bound,complete,959,966,0,1,965,True,local_state_plus_targeted_bigquery,30,965,,,,,2011,census_2011_official,unmatched,,resolved,census_unmatched;census_invalid;census_population_inconsistent,False
E003::rajkot,E003,2015-0249-IND,Gujarat,Rajkot,2015-06-19,2015-06-20,start:day|end:day,gadm,"[""gadm:IND.11.26_1""]",gadm|location,"[""gadm:IND.11.20_1"", ""gadm:IND.11.26_1"", ""gadm:IND.11.28_1"", ""gadm:IND.11.2_1"", ""gadm:IND.11.30_1"", ""location:(?<![A-Za-z])Gujarat(?![A-Za-z])""]",district,,,,,,,11175.751593133718,NONE,missing,matched,17647.0,no_s1_or_s2,fs1-3016a20fd3ad,unavailable,,10594.8875,,,NONE,76.0,partial,llm_qa_observed_lower_bound,complete,959,1080,0,82,998,True,local_state_plus_targeted_bigquery,30,998,0.5819467070813482,3804558.0,2214050.0,1590508.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557,matched,476,resolved,satellite_missing_or_invalid,False
E003::surat,E003,2015-0249-IND,Gujarat,Surat,2015-06-19,2015-06-20,start:day|end:day,gadm,"[""gadm:IND.11.28_1""]",gadm|location,"[""gadm:IND.11.20_1"", ""gadm:IND.11.26_1"", ""gadm:IND.11.28_1"", ""gadm:IND.11.2_1"", ""gadm:IND.11.30_1"", ""location:(?<![A-Za-z])Gujarat(?![A-Za-z])""]",district,,,,,,,7486.82173633887,NONE,missing,matched,17649.0,no_s1_or_s2,fs1-3016a20fd3ad,unavailable,,5860.6038,,,NONE,21.0,partial,llm_qa_observed_lower_bound,complete,959,1009,0,35,974,True,local_state_plus_targeted_bigquery,30,974,0.7973945467778223,6081322.0,4849213.0,1232109.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557,matched,492,resolved,satellite_missing_or_invalid,False
E003::tapi,E003,2015-0249-IND,Gujarat,Tapi,2015-06-19,2015-06-20,start:day|end:day,gadm,"[""gadm:IND.11.30_1""]",gadm|location,"[""gadm:IND.11.20_1"", ""gadm:IND.11.26_1"", ""gadm:IND.11.28_1"", ""gadm:IND.11.2_1"", ""gadm:IND.11.30_1"", ""location:(?<![A-Za-z])Gujarat(?![A-Za-z])""]",district,,,,,,,3222.2181213994645,NONE,missing,matched,76128533B12519626815499,no_s1_or_s2,fs1-3016a20fd3ad,unavailable,,2093.7467,,,NONE,0.0,partial,llm_qa_observed_lower_bound,complete,959,962,0,1,961,True,local_state_plus_targeted_bigquery,30,961,0.098494217010193,807022.0,79487.0,727535.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557,matched,493,resolved,satellite_missing_or_invalid,False
